'state_id','county_id','value','start_date','end_date','source','dataset'),
(48,125,5.53,'2015-01-01','2015-12-31',12,69),
(49,31,2.78,'2015-01-01','2015-12-31',12,69),
(26,81,9.58,'2015-01-01','2015-12-31',12,69),
(37,85,9.1,'2015-01-01','2015-12-31',12,69),
(37,183,9.7,'2015-01-01','2015-12-31',12,69),
(26,107,8.31,'2015-01-01','2015-12-31',12,69),
(27,159,5.05,'2015-01-01','2015-12-31',12,69),
(46,37,5.93,'2015-01-01','2015-12-31',12,69),
(21,181,9.65,'2015-01-01','2015-12-31',12,69),
(26,123,8.54,'2015-01-01','2015-12-31',12,69),
(21,197,9.64,'2015-01-01','2015-12-31',12,69),
(47,165,8.4,'2015-01-01','2015-12-31',12,69),
(27,51,5.69,'2015-01-01','2015-12-31',12,69),
(17,49,8.82,'2015-01-01','2015-12-31',12,69),
(17,61,9.0,'2015-01-01','2015-12-31',12,69),
(21,13,7.73,'2015-01-01','2015-12-31',12,69),
(27,3,5.9,'2015-01-01','2015-12-31',12,69),
(27,15,6.84,'2015-01-01','2015-12-31',12,69),
(42,1,9.64,'2015-01-01','2015-12-31',12,69),
(46,13,5.53,'2015-01-01','2015-12-31',12,69),
(46,83,8.36,'2015-01-01','2015-12-31',12,69),
(40,93,6.81,'2015-01-01','2015-12-31',12,69),
(46,5,6.27,'2015-01-01','2015-12-31',12,69),
(21,33,8.34,'2015-01-01','2015-12-31',12,69),
(47,17,8.17,'2015-01-01','2015-12-31',12,69),
(46,111,6.67,'2015-01-01','2015-12-31',12,69),
(42,15,7.32,'2015-01-01','2015-12-31',12,69),
(37,87,6.59,'2015-01-01','2015-12-31',12,69),
